Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
KEY_K2_MISSION_FLAVOUR_TEXT,Text,,DOWNLOAD IMPOSSIBLE WEAPONS RESEARCH,,TÉLÉCHARGER LA RECHERCHE SUR LES MYSTÉRIEUSES ARMES,FORSCHUNG DER UNMÖGLICHEN WAFFEN HERUNTERLADEN,,POBIERZ BADANIA NAD NIEMOŻLIWĄ BRONIĄ,СКАЧАТЬ ИССЛЕДОВАНИЕ СУПЕР-ОРУЖИЯ,DESCARGA LA INVESTIGACIÓN DE ARMAS IMPOSIBLES,
BASEDEFENSE_INFESTATION_OBJECTIVE,Text,,DESTROY THE SPAWNERY AND THE SENTINELS,,DÉTRUISEZ L'INCUBATEUR ET LES SENTINELLES,ZERSTÖRE DIE BRUTKAMMER UND DIE WÄCHTER,,ZNISZCZ LĘGOWISKO I STRAŻNIKÓW,УНИЧТОЖЬТЕ ИНКУБАТОРЫ И СТРАЖЕЙ,DESTRUYE EL LUGAR DE DESOVE Y LOS CENTINELAS,
BASEDEFENSE_SECOND_OBJECTIVE,Text,,"KILL REMAINING PANDORANS. EGGS, WORMS, MINDFRAGGERS, AND MYRMIDONS CAN BE LEFT FOR THE CLEANING DETAIL.",,"ÉLIMINEZ LES PANDORIENS RESTANTS. LES ŒUFS, VERS, CORRUPTEURS ET MYRMIDONS PEUVENT ÊTRE LAISSÉS AU PERSONNEL DE NETTOYAGE.","TÖTE DIE VERBLEIBENDEN PANDORANER. EIER, WÜRMER, MINDFRAGGER UND MYRMIDONEN KÖNNEN DEM REINIGUNGSTEAM ÜBERLASSEN WERDEN",,ZABIJ POZOSTAŁYCH PANDORAN. JAJA,"УНИЧТОЖЬТЕ ОСТАВШИХСЯ ПАНДОРАНОВ. ЯЙЦА, ЧЕРВЕЙ, ПРОМЫВАТЕЛЕЙ И МИРМИДОНОВ ДОБИВАТЬ НЕ ОБЯЗАТЕЛЬНО.",MATA A LOS PANDORAS SUPERVIVIENTES. DE LOS PEQUEÑOS PUEDEN ENCARGARSE EL EQUIPO DE LIMPIEZA.,
BASEDEFENSE_SURVIVE5_OBJECTIVE,Text,,SURVIVE {0} TURNS,,SURVIVRE PENDANT {0} TOURS,ÜBERLEBE {0} RUNDEN,,PRZETRWAJ {0} TUR,ПРОДЕРЖИТЕСЬ {0} ХОДОВ,SOBREVIVE {0} TURNOS,
BASEDEFENSE_SURVIVE_COMPLETE,Text,,SURVIVED THE ATTACK,,A SURVÉCU À L'ATTAQUE,ANGRIFF ÜBERLEBT,,ATAK PRZETRWANY,МЫ ВЫЖИЛИ,HAS SOBREVIVIDO AL ATAQUE,
BASEDEFENSE_SURVIVE3_OBJECTIVE,Text,,SURVIVE {0} TURNS,,SURVIVRE PENDANT {0} TOURS,ÜBERLEBE {0} RUNDEN,,PRZETRWAJ {0} TUR,ПРОДЕРЖИТЕСЬ {0} ХОДОВ,SOBREVIVE {0} TURNOS,
BASEDEFENSE_SENTINEL_OBJECTIVE,Text,,DESTROY THE SENTINEL,,DÉTRUISEZ LA SENTINELLE,ZERSTÖRE DEN WÄCHTER,,ZNISZCZ STRAŻNIKA,УНИЧТОЖЬТЕ СТРАЖА,DESTRUYE AL CENTINELA,
BASEDEFENSE_VENTING_PROMPT,Text,,"Activate Emergency Venting? This will stop the incoming wave of Pandoran reinforcements, but it will damage your power generator and cause random fires and explosions around the base!",,"Activer la ventilation d’urgence ? Cela stoppera la vague de renforts Pandoriens, mais endommagera votre générateur et provoquera des incendies et explosions aléatoires dans toute la base  !","Notentlüftung aktivieren? Dadurch wird die anrückende Welle pandoranischer Verstärkung gestoppt, aber der Stromgenerator wird beschädigt und es kommt zu zufälligen Bränden und Explosionen in der Basis!",,Aktywować wentylację awaryjną? Zatrzyma to nadchodzącą falę pandorańskich posiłków,"Активировать аварийную вентиляцию? Это остановит надвигающуюся волну Пандоранских подкреплений, но повредит ваш генератор энергии и вызовет случайные пожары и взрывы по всей базе!","¿Activar la ventilación de emergencia? Esto detendrá los refuerzos Pandora pero, ¡dañará tu generador y causará explosiones e incendios impredecibles por toda la base!",
CAPTURE_ABILITY_NAME,Text,,PRIORITY SKYHOOK EXTRACTION,,EXTRACTION PRIORITAIRE,PRIORITÄTSEVAKUIERUNG „SKYHOOK“,,PRIORYTETOWA EKSTRAKCJA SKYHOOKIEM,ЗАХВАТИТЬ В ПЕРВУЮ ОЧЕРЕДЬ,PRIORIDAD DE EXTRACCIÓN SKYHOOK,
CAPTURE_ABILITY_DESCRIPTION,Text,,Marks the paralyzed Pandoran for priority extraction and capture at the end of the mission.,,Marque le Pandorien paralysé pour extraction prioritaire à la fin de la mission.,Markiert den gelähmten Pandoraner zur vorrangigen Evakuierung und Gefangennahme am Missionsende.,,Oznacza sparaliżowanego Pandorana do priorytetowej ekstrakcji i pojmania na końcu misji.,Отмечает парализованного Пандорана для приоритетного захвата в конце миссии.,Marca a los Pandoras paralizados como prioridad de extracción y captura al final de la misión.,
