"Key","Type","Desc","English","Chinese (Simplified)"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_0","Text","","Get a night visit...","来个夜间拜访……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_1","Text","","From your friendly Inter-Serve!","来自你们友好的跨服部队！"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_2","Text","","Your truth...","你的真相……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_3","Text","","Is a scripted broadcast!","不过是场预设的广播！"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_4","Text","","New Jericho?","新耶利哥？"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_5","Text","","Old Tyranny.","旧时代的暴政。"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_6","Text","","Another West speech...","又是一场韦斯特的演讲……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_7","Text","","Another pack of lies.","又是一堆谎言。"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_8","Text","","Freedom of speech?","言论自由？"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_9","Text","","Thought Police!","思想警察！"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_10","Text","","West’s freedom?","西方的自由？"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_11","Text","","You're free to choose him!","你可以自由选择他！"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_12","Text","","One wrong word...","一句错话……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_13","Text","","And you're a traitor to humanity.","你就是人类的叛徒。"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_14","Text","","Tobias' real war...","托比亚斯真正的战争……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_15","Text","","Is against your right to think.","是针对你思考的权利。"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_16","Text","","West is saving humanity...","西方正在拯救人类……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_17","Text","","All of it—for himself!","全部都是为了他自己！"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_18","Text","","No bars, no chains...","没有铁栏，没有锁链……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_19","Text","","Only silent fear.","只有无声的恐惧。"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_20","Text","","Inter-Serve: peacekeepers...","联服：维和者……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_21","Text","","Or West's goon squad?","还是西部的打手队？"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_22","Text","","WWIII...","第三次世界大战……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_23","Text","","Not profitable enough for Tobias.","对托比亚斯来说不够赚钱。"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_24","Text","","Grovel...","卑躬屈膝……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_25","Text","","At West's throne of lies.","在西部的谎言王座前。"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_26","Text","","Remember Shibaski?","还记得柴巴斯基吗？"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_27","Text","","Funny how your savior...","有趣的是你的救星……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_28","Text","","Never lets you speak.","从不让你发言。"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_29","Text","","West loves the camera...","西部爱镜头……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_30","Text","","But hides from real debate.","但却回避真正的辩论。"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_31","Text","","Inter-Serve?","是互助会？"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_32","Text","","Or Inquisition?","还是宗教裁判所？"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_33","Text","","Pandorans aren’t the threat...","潘多拉体并非威胁……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_34","Text","","Tyrants in uniforms are!","穿制服的暴君才是！"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_35","Text","","West protects you...","西方保护你……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_36","Text","","But who protects you from him?","但谁来保护你免受他的伤害？"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_37","Text","","West sells security...","西方出售安全……"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PROPAGANDA_38","Text","","You pay the price.","你为此付出代价。"
"TFTV_KEY_NJ_INTRO_MISS_OBJECTIVE_COMMS","Text","","INVESTIGATE COMMS ROOM","调查通讯室"
"TFTV_KEY_NJ_INTRO_MISS_OBJECTIVE_INFILTRATOR","Text","","KILL THE INFILTRATOR","消灭潜入者"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_MC_0","Text","","<Free your mind from the shackles.>","<解放你的心灵枷锁。>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_MC_1","Text","","<I shall be deceived no more.>","<我不再受骗。>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_MC_2","Text","","<The child will bring the answer.>","<孩子将带来答案。>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_MC_3","Text","","<I don't want to do this!>","<我不想这么做！>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_MC_4","Text","","<Seek transformation.>","<寻求蜕变。>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_MC_5","Text","","<The truth is in me.>","<真理在我心中。>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_MC_6","Text","","<Stand aside, I’m possessed by an ethos.>","<让开，我被一种信念附身。>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_AFTER_MC_0","Text","","<What have I done?>","<我做了什么？>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_AFTER_MC_1","Text","","<Forgive me, forgive me.>","<原谅我，原谅我。>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_AFTER_MC_2","Text","","<What the frag was that?!>","<那到底是什么鬼？！>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_AFTER_MC_3","Text","","<I… I… who am I?>","<我……我……我是谁？>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_AFTER_MC_4","Text","","<Was it all... a dream?>","<这一切……都是梦吗？>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_AFTER_MC_5","Text","","<What a fragging mindfrag...>","<真是他妈的精神崩溃……>"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_AFTER_MC_6","Text","","<I feel like my head exploded and was reconstructed piece by piece.>","<感觉我的脑袋像爆炸了一样，然后一块块被重新拼凑起来。>"
"TFTV_KEY_NJ_INTRO_MISS_HINT_MISSION_START_TITLE","Text","","",""
"TFTV_KEY_NJ_INTRO_MISS_HINT_MISSION_START_DESC","Text","","[HavenName] PA system is... malfunctioning. The security team that was sent to investigate is not responding. Get in the Comms room and find out what is going on!","[HavenName] 的广播系统……出现故障了。派去调查的安保队伍没有回应。赶快进入通讯室，查明情况！"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PHOENIX_MC_0","Text","","This NJ trooper is... unwell?","这个新耶利哥士兵……状态不太对？"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PHOENIX_MC_1","Text","","[OperativeName], don't take any chances! If [he/she] gets in your way, shoot [him/her].","[OperativeName]，别冒险！如果[他/她]挡路了，开枪！"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PHOENIX_MC_2","Text","","The NJ troopers seem to be coming out of it, whatever it was.","新耶利哥士兵似乎正在恢复，不管之前经历了什么。"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PHOENIX_MC_3","Text","","Poor sods, sucks to be used like that.","可怜的家伙，被那样利用真惨。"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PHOENIX_INF_0","Text","","Hey, who is that? And is that an optical camo suit?","嘿，那是谁？那是光学隐形服吗？"
"TFTV_KEY_NJ_INTRO_MISS_BANTER_PHOENIX_INF_1","Text","","Don't let them get away! Shoot to kill!","别让他们逃了！开枪击毙！"
