Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
TFTV_INCIDENT_45_TITLE_ANY,Text,req: Haven in Mist,The Vanishing Margin,,,,,,,,
TFTV_INCIDENT_45_DESC,Text,,"Director, something's wrong here. The [haven’s leader name] requested a quiet meeting—residents are disappearing, one by one. Whispers spread fast: Pandorans in the walls, night-time kidnappings, mist-born shadows no one survives seeing. No bodies, no alarms. Just emptying districts and growing fear.",,,,,,,,
TFTV_INCIDENT_45_CHOICE_0_E,Text,,Investigate the disappearances [RECON/VEHICLE OPERATOR],,,,,,,,
TFTV_INCIDENT_45_CHOICE_1_C_M,Text,,Interview scavengers and supply workers. [DEAL MAKER/ANOMALY INVESTIGATOR],,,,,,,,
TFTV_INCIDENT_45_CHOICE_2,Text,,Decline involvement. [END],,,,,,,,
TFTV_INCIDENT_45_OUTCOME_0_SUCCESS,Text,,"No monsters. No kidnappers. Just hunger. The haven lies close to a mist zone—its farms are dying. The missing joined scavenging runs into contaminated areas, desperate to find food. Most never returned.",,,,,,,,
TFTV_INCIDENT_45_OUTCOME_1_SUCCESS,Text,,The supply teams eventually opened up. Food stores have been empty for weeks. Locals are venturing deeper into misted ruins to scavenge. Some made it back. Most didn’t. The disappearances were quiet… because they were intentional.,,,,,,,,
TFTV_INCIDENT_45_OUTCOME_0_FAIL,Text,,"We followed old paths into the outskirts—found dropped tools, torn cloth. No signs of Pandorans. The mist’s edge creeps closer by the week. This is no attack. It’s slow collapse.",,,,,,,,
TFTV_INCIDENT_45_OUTCOME_1_FAIL,Text,,One scavenger confessed: ‘We stopped going out together. Too dangerous. Too few of us.’ They’ve been rationing silence as much as food. The panic only now begins to catch up.,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
TFTV_INCIDENT_46_TITLE_ANY,Text,"req: SYN or NJ haven, near Anu Haven with Missionary Center",The Quiet Departure,,,,,,,,
TFTV_INCIDENT_46_DESC,Text,,"We met with [HavenLeader], the administrator of [HavenName], who’s asking to address the concerns of a steady decline in population here. No violence, no signs of struggle. People are simply leaving. There have been rumors of shared dreams, voices calling – symptoms reminding of the First Mist outbreak.",,,,,,,,
TFTV_INCIDENT_46_CHOICE_0_E,Text,,Investigate the disappearances. [DEAL MAKER/ANOMALY INVESTIGATOR],,,,,,,,
TFTV_INCIDENT_46_CHOICE_1_C_M,Text,,Observe the paths leading out of the Haven. [RECON/VEHICLE OPERATOR],,,,,,,,
TFTV_INCIDENT_46_CHOICE_2,Text,,Decline involvement. [END],,,,,,,,
TFTV_INCIDENT_46_OUTCOME_0_SUCCESS,Text,,"We interviewed relatives of the departed—they described shared visions, and a sudden clarity, ‘as if a veil had lifted,’ after which the people left for a [Name of Nearby Anu Haven] and joined the congregation there.",,,,,,,,
TFTV_INCIDENT_46_OUTCOME_1_SUCCESS,Text,,"Our surveillance confirmed it: the Missionary Center at [Nearby Anu Haven] is hosting private rites, guiding citizens to abandon their former lives. Indoctrination is framed as ‘cleansing separation.’ It’s voluntary—but irreversible.",,,,,,,,
TFTV_INCIDENT_46_OUTCOME_0_FAIL,Text,,"Witnesses recalled strange behavior before each departure—withdrawal, chanting, smiles that didn’t reach the eyes. These disappearances are uncanny but seem to be voluntary.",,,,,,,,
TFTV_INCIDENT_46_OUTCOME_1_FAIL,Text,,"We observed several late-night departures—calm, orderly, no sign of coercion. The renegade citizens have mentioned ‘embracing the change’ but refused to elaborate.",,,,,,,,
,,,,,,,,,,,
TFTV_INCIDENT_47_TITLE_ANY,Text,,The Merchant’s Puzzle,,,,,,,,
TFTV_INCIDENT_47_DESC,Text,,"Director, we’ve been approached by a man named Staban Melquíades, an Anu-affiliated dealer in curios and oddities. He claims to have acquired a mysterious metal object—possibly part of a larger contraption—and would like to retain our expertise before finalizing a deal. He insists it’s ‘genuine pre-human tech’ but admits he doesn’t understand what it is.",,,,,,,,
TFTV_INCIDENT_47_CHOICE_0_E,Text,,Analyze the artifact in detail. [ANOMALY INVESTIGATOR/FIELD ENGINEER],,,,,,,,
TFTV_INCIDENT_47_CHOICE_1_C_M,Text,,Conduct a rapid scan and give Melquíades a summary. [MACHINE FIXER/XENOBIOLOGIST],,,,,,,,
TFTV_INCIDENT_47_CHOICE_2,Text,,Decline the request. [END],,,,,,,,
TFTV_INCIDENT_47_OUTCOME_0_SUCCESS,Text,,"The alloy is traceable—common industrial material. But the forging method leaves no toolmarks, and thermal analysis suggests the component was shaped at impossible precision. Most disturbing: residue on its inner surface dates back hundreds of thousands of years. If it’s a forgery, someone has been very meticulous.",,,,,,,,
TFTV_INCIDENT_47_OUTCOME_1_SUCCESS,Text,,The scan shows nothing biological or Pandoran. But deeper spectral imaging revealed age-inconsistent residue inside the seams—organic matter degraded beyond known timelines. Melquíades was thrilled. He says the buyer ‘will want the full set now.’,,,,,,,,
TFTV_INCIDENT_47_OUTCOME_0_FAIL,Text,,"Structurally, it’s just shaped metal. But every method of production we know leaves some signature. This piece has none. Residue samples were inconclusive but… aged far beyond any known industrial process.",,,,,,,,
TFTV_INCIDENT_47_OUTCOME_1_FAIL,Text,,"Basic tests showed nothing special, but a few irregularities in the internal lattice suggest fabrication methods we don’t recognize. Melquíades took our word and vanished.",,,,,,,,
